experience_kw,welcoming_kw,goal_kw,passion_kw
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
0,1,0,0
1,0,0,0
1,1,0,1
1,0,0,0
0,1,0,0
0,1,0,0
0,0,0,0
1,0,0,0
0,0,0,1
1,0,0,1
0,0,0,0
0,0,0,1
1,0,0,0
0,1,0,0
1,1,0,1
0,1,0,1
0,1,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,1,0,1
0,1,0,0
0,1,0,1
0,1,0,1
1,1,0,1
1,1,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,1,0,0
0,0,0,1
1,1,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,1,0,0
1,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,1,0,0
0,1,0,1
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,1,1,1
1,0,0,0
0,1,0,0
0,0,0,0
0,1,0,1
1,0,0,0
0,0,0,0
0,1,0,1
0,1,0,1
0,0,0,0
0,1,0,0
0,1,0,1
0,0,0,0
0,0,0,1
1,1,0,0
0,0,0,0
1,1,0,1
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
1,0,0,0
0,0,0,0
1,1,0,0
0,0,0,1
0,1,0,1
1,0,0,1
1,0,0,0
0,0,0,0
0,1,0,0
0,1,0,1
1,1,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
1,0,0,0
0,1,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,1,0,1
0,1,0,0
0,1,0,1
1,0,0,0
1,0,0,1
0,0,0,0
0,1,1,1
0,0,0,1
0,1,0,0
0,0,0,0
0,1,1,1
0,1,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,1,0,1
0,1,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
1,0,0,0
0,0,0,0
0,0,0,1
0,1,0,1
0,0,0,0
1,1,0,1
1,0,0,0
0,1,0,1
1,1,0,1
0,1,0,0
1,1,0,1
0,1,0,1
1,1,1,1
0,1,0,0
1,0,0,0
1,0,0,0
0,1,0,0
1,0,0,0
0,1,0,0
0,0,0,0
1,0,0,0
1,1,0,1
0,0,0,1
0,1,0,0
1,0,0,0
0,0,0,0
1,1,0,1
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
1,0,0,1
0,1,0,1
1,0,0,0
0,0,0,0
1,0,0,0
1,1,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
1,0,0,0
1,1,0,0
1,0,0,1
1,0,1,0
0,1,0,1
1,1,0,1
0,0,0,0
1,1,0,1
0,0,0,0
0,0,0,0
0,0,0,0
1,1,0,1
0,0,0,0
0,0,0,1
1,1,0,1
0,1,0,1
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
0,1,0,0
1,1,0,1
1,1,0,1
0,0,0,0
0,1,0,0
0,1,0,1
0,0,0,0
1,1,0,0
0,0,0,1
0,0,0,0
1,1,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,1,1,1
0,1,0,0
0,1,0,0
0,0,0,1
1,1,0,1
0,1,0,0
1,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,1
0,0,0,0
0,0,0,1
0,1,0,1
1,1,0,1
1,1,0,1
0,1,0,0
1,1,0,0
0,1,0,1
0,1,1,1
0,1,0,1
0,0,0,0
0,0,0,0
0,1,1,1
1,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,1,0,0
0,0,0,0
0,1,0,1
0,0,0,0
1,1,0,1
0,1,1,1
0,0,0,0
0,0,0,0
1,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
1,0,0,0
0,1,0,1
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,1,0,1
0,1,0,0
1,0,0,0
0,1,0,0
1,1,0,1
1,0,0,0
0,0,0,0
1,0,0,1
1,0,0,0
0,0,0,0
1,1,0,1
0,0,0,0
0,1,0,0
0,0,0,0
1,1,0,1
0,1,0,1
0,0,0,0
0,1,0,1
0,1,0,0
0,1,0,0
1,0,0,1
0,1,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,1,0,0
0,0,0,0
0,0,0,0
1,1,0,1
1,0,0,0
1,1,0,1
0,0,0,0
0,0,0,0
1,1,0,1
0,1,0,0
0,0,0,0
1,1,0,0
0,1,1,0
0,0,0,0
1,1,0,0
1,1,0,0
0,0,0,0
0,1,0,1
1,0,0,0
0,1,0,0
1,0,0,1
0,1,0,0
1,0,0,1
0,1,0,1
1,1,1,1
0,1,0,0
1,0,0,0
0,1,0,0
0,0,0,0
0,1,0,1
0,0,0,1
1,1,0,1
0,0,0,0
1,0,0,0
1,1,0,0
1,0,0,0
0,0,0,0
0,1,0,1
0,1,0,0
1,0,0,0
0,0,0,0
1,0,0,0
1,0,0,1
1,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,1,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
1,1,1,1
0,0,0,0
1,0,0,0
1,0,0,0
1,1,1,0
1,1,0,0
0,0,0,0
1,1,0,0
0,0,0,0
0,1,0,0
0,1,0,0
0,0,0,0
0,0,0,1
0,1,0,1
0,0,0,0
0,1,0,1
1,0,0,0
0,1,0,0
0,1,0,1
0,1,0,1
0,0,0,0
0,0,0,0
0,1,0,1
0,0,1,0
1,1,0,0
0,1,0,0
1,0,0,0
0,1,0,1
0,1,0,1
1,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,1,0,0
1,0,0,0
1,0,0,0
1,1,0,1
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
1,0,0,0
1,1,0,1
0,1,0,1
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,1,0,1
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,1,0,1
0,0,0,1
0,0,0,0
0,0,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,1
0,0,0,0
0,1,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
1,1,0,0
0,1,0,0
0,0,0,0
0,1,0,1
1,1,0,0
0,0,0,0
0,1,0,0
0,0,0,1
1,0,0,1
0,0,0,0
1,0,0,1
0,0,0,0
0,1,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,1
1,0,0,0
0,1,0,1
0,0,0,0
0,1,0,1
0,0,0,0
0,0,0,0
0,1,0,0
1,1,0,1
0,1,0,0
1,1,0,0
0,0,0,1
0,1,0,1
0,1,0,1
0,0,0,0
0,1,0,1
0,1,0,0
0,0,0,1
1,1,0,0
0,1,0,1
0,0,0,0
1,1,0,1
0,0,0,0
1,0,0,0
1,1,0,1
0,1,0,0
0,0,1,0
0,1,0,1
1,1,0,1
0,0,0,0
0,1,0,1
0,0,0,0
0,0,1,0
0,0,0,1
0,1,0,0
0,0,0,0
1,0,0,0
0,0,0,1
0,0,0,0
0,0,0,1
1,0,0,1
0,1,0,1
0,0,0,0
0,1,0,1
0,0,0,0
1,1,0,1
0,1,0,1
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
0,1,0,1
0,1,0,0
0,0,0,1
0,1,0,0
0,0,0,0
0,1,0,0
0,1,0,1
0,0,0,0
1,1,0,0
0,0,0,0
0,0,0,0
0,1,0,0
1,1,1,0
0,1,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,1,0,0
1,1,0,0
0,0,0,0
0,0,0,0
1,1,0,1
1,0,0,0
0,1,0,1
0,0,0,0
0,0,0,0
0,1,0,1
0,0,0,0
0,0,0,0
1,0,0,1
1,1,1,1
0,1,0,0
0,1,0,0
0,1,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,1,0,1
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,1
0,0,0,1
1,1,0,0
0,0,0,1
0,0,0,0
0,0,0,1
0,0,0,1
0,1,0,1
0,1,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
1,1,0,1
1,1,0,0
0,1,0,1
0,0,0,0
1,0,0,1
0,0,0,1
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,1,0,0
1,0,0,1
1,1,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
0,1,0,1
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,1,0,0
1,1,0,1
0,0,0,0
1,0,0,1
0,0,0,0
0,0,0,0
0,1,1,1
0,0,0,0
1,1,0,0
0,0,1,1
0,0,0,1
0,1,0,1
0,0,0,0
0,0,0,0
0,1,1,0
0,0,0,0
0,0,0,1
0,0,0,0
1,1,0,0
1,1,0,1
0,0,0,0
1,0,0,0
1,1,1,0
0,0,0,1
0,1,0,1
0,0,0,0
0,1,0,1
0,1,0,1
1,0,0,0
0,1,0,1
0,1,0,0
0,0,0,0
0,1,1,1
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,1,0,1
1,1,0,0
0,0,0,0
0,0,0,1
1,1,0,0
0,0,0,0
1,0,0,0
1,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,1,0,0
0,1,0,0
0,0,0,0
0,0,0,1
1,0,0,0
1,1,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
1,0,0,1
0,0,0,1
0,0,0,0
0,0,0,0
1,0,0,0
0,1,0,0
0,1,0,0
0,1,0,1
0,0,0,1
1,0,0,0
0,1,1,0
0,0,0,0
1,0,0,0
0,1,0,0
1,1,0,1
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,1
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,1
1,0,0,0
0,1,0,1
0,1,0,0
0,1,0,1
0,0,0,0
0,0,0,0
1,0,0,0
1,1,0,0
1,1,0,0
1,0,0,1
1,0,0,0
1,1,0,0
0,1,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,1,0,1
0,1,0,0
1,0,0,0
0,0,0,0
0,0,0,1
0,0,1,0
0,0,0,0
0,1,1,0
1,0,0,0
0,0,0,0
0,0,0,1
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,1,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
1,1,0,1
0,0,1,0
0,1,0,1
1,1,0,0
1,0,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
0,0,0,0
0,1,0,0
1,0,0,0
0,1,0,0
0,1,0,1
0,0,0,0
0,1,0,1
0,0,0,0
0,1,0,1
0,1,0,1
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
1,1,0,1
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,1,0,1
0,1,0,1
0,0,0,0
1,0,0,0
1,0,1,1
1,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
1,1,0,0
0,0,0,0
1,1,0,1
0,0,0,0
1,1,0,1
0,0,0,0
0,1,0,1
0,0,0,0
0,1,0,0
1,1,0,0
0,0,0,0
0,1,0,1
1,1,0,0
1,1,0,1
0,0,0,1
1,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
1,1,0,0
1,0,0,0
0,1,0,0
0,0,0,0
0,1,0,1
0,1,1,1
1,0,0,1
1,1,0,0
0,0,0,0
1,1,0,1
0,0,0,0
0,0,0,0
0,1,0,1
0,0,0,1
0,1,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
0,0,0,0
0,1,0,1
0,1,0,0
0,1,0,1
0,0,0,0
0,1,0,0
0,1,0,1
0,0,0,0
0,0,0,0
0,1,0,1
1,0,0,0
1,1,0,1
0,1,0,0
0,0,0,0
0,1,0,1
0,1,0,0
0,1,0,1
0,1,0,1
0,1,0,0
1,1,0,0
0,0,0,0
1,1,0,1
1,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,1,0,1
1,0,0,1
1,0,0,0
0,1,0,1
1,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,1,0,1
1,0,0,0
1,0,0,0
0,1,0,1
0,0,1,1
0,1,0,1
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,1,0,1
0,1,0,1
0,0,0,1
0,1,0,0
0,0,0,0
0,0,0,0
0,1,0,1
1,1,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
1,1,0,0
1,1,0,1
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,1
0,0,0,1
0,1,0,1
1,1,0,1
0,1,0,1
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,1,0,0
0,1,0,0
0,0,0,0
0,1,0,1
1,0,1,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,1
1,0,0,1
0,0,0,1
0,1,0,1
1,0,0,1
0,0,0,1
0,0,0,0
0,1,0,1
0,1,0,1
0,1,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,1
0,0,0,1
0,1,0,1
1,0,0,1
0,0,0,0
0,0,0,0
0,1,0,1
0,1,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,1,0,0
1,1,0,1
1,0,0,0
1,1,0,1
1,1,0,0
1,0,0,0
0,1,0,0
0,0,0,1
0,1,0,1
0,0,0,0
0,1,1,0
0,1,0,0
1,1,0,1
1,0,0,1
0,1,0,1
1,0,0,0
0,0,1,0
1,1,0,1
0,0,1,1
1,1,0,1
1,0,0,0
1,0,0,1
0,0,0,0
1,0,0,1
0,0,0,0
0,1,0,0
0,1,0,1
1,0,0,0
0,1,0,1
0,0,0,0
0,0,0,1
0,0,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,1
0,1,0,0
0,1,0,1
0,0,1,1
0,1,0,0
0,1,0,0
0,0,0,0
1,0,0,0
0,1,0,1
0,0,0,1
0,0,0,0
0,0,0,1
0,1,0,0
0,0,0,1
1,0,0,0
0,1,0,1
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
1,0,0,0
0,0,0,0
0,0,0,0
1,1,0,1
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
1,0,0,0
0,0,0,0
0,1,0,0
0,0,1,0
0,1,1,0
0,0,0,0
1,0,0,0
1,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,0,1,1
0,1,0,0
1,0,0,0
0,0,0,1
1,1,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
0,1,0,0
1,1,0,1
0,1,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,1,0,1
0,1,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,1
0,1,0,1
1,0,0,1
0,1,0,1
0,1,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
1,1,0,1
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,1,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
1,1,0,0
0,1,0,0
0,0,0,1
1,0,0,0
0,1,0,1
0,0,0,0
0,1,0,0
0,1,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,1,0,1
0,1,1,1
0,1,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,1,0,1
1,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
0,1,0,0
1,0,0,1
1,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
1,1,0,1
0,0,0,0
0,1,0,0
1,1,0,0
0,0,0,0
0,0,0,0
0,1,0,1
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,1
1,1,0,1
0,1,1,1
0,0,0,0
0,1,0,0
0,1,0,0
0,0,0,0
0,1,0,1
0,1,1,1
0,0,0,0
0,0,0,0
0,1,1,1
0,1,0,1
1,0,0,0
1,1,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,1,0,1
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,1,0,1
1,0,0,0
0,1,0,1
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,1,0,1
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
0,1,0,1
0,1,0,1
0,0,0,0
0,0,0,0
0,0,1,1
0,0,0,0
0,0,0,0
0,1,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,1,0,0
1,0,1,0
0,1,0,1
1,1,0,0
1,0,0,0
0,0,1,0
1,1,0,1
1,1,0,1
0,0,0,0
0,0,0,0
0,0,0,1
1,1,0,0
1,1,0,0
0,0,0,0
1,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
0,1,0,1
0,1,0,0
0,1,0,0
1,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,1,1
1,0,0,0
0,0,0,0
0,1,0,1
1,1,0,0
0,0,0,0
1,1,0,0
0,0,1,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,1,0
1,1,0,1
1,0,0,0
0,0,0,0
0,1,0,1
0,1,0,1
0,1,0,0
1,0,0,1
0,0,0,0
0,1,0,1
0,1,0,0
1,0,0,0
1,0,0,0
0,1,0,1
0,0,1,0
0,1,0,0
1,0,0,0
0,0,0,0
0,1,0,1
0,0,0,0
0,1,0,1
0,0,0,0
1,0,0,0
0,0,0,0
1,1,0,1
0,1,0,0
0,0,0,1
0,1,0,0
0,1,0,0
1,0,0,1
0,1,0,0
0,1,1,0
0,0,0,0
0,0,0,0
0,1,0,0
1,0,0,0
0,0,0,1
0,1,1,0
0,1,0,0
0,0,0,0
0,0,0,0
0,1,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,1,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,0,0,0
0,1,0,0
0,1,0,0
1,0,0,0
0,0,0,0
1,0,0,1
1,0,0,0
0,1,0,1
1,0,0,0
1,0,0,0
0,0,0,0
0,0,1,1
0,1,0,0
0,0,0,1
1,0,0,0
1,1,0,1
0,1,0,0
0,0,0,1
0,0,0,0
0,1,0,0
1,1,0,1
0,1,0,1
1,1,0,1
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
0,0,0,0
1,1,0,0
0,0,1,0
0,1,0,1
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,1,0,1
0,0,0,1
0,1,0,1
0,0,0,0
1,0,0,0
0,1,0,1
0,0,1,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,1,0,1
0,0,0,0
0,0,0,0
0,1,0,0
0,1,0,0
1,1,0,1
0,0,0,0
0,1,0,0
0,0,0,0
0,1,0,1
0,1,0,1
0,0,0,1
0,0,0,0
0,1,0,1
0,0,1,0
0,0,0,0
0,1,0,0
1,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,1,0,1
1,1,0,0
0,1,0,1
0,1,0,0
0,0,0,0
1,0,0,0
0,1,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,1,0,1
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,1,0,1
1,0,0,0
0,0,0,0
1,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
0,0,0,0
1,0,0,0
1,1,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,1,1,0
0,0,0,0
0,1,0,1
0,0,0,1
0,1,0,1
0,1,0,0
1,1,0,0
0,1,0,1
0,0,0,0
0,1,0,0
0,1,0,1
0,0,0,0
0,1,0,1
0,0,0,0
0,0,0,1
0,1,0,1
1,1,0,1
0,0,0,1
0,1,0,1
1,0,0,0
0,0,0,1
1,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
1,0,0,0
1,0,0,1
1,0,0,0
1,0,0,1
0,1,1,0
0,1,0,0
0,0,0,1
0,0,0,0
1,0,0,1
0,1,0,1
0,0,0,0
1,1,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,1
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
0,1,0,1
0,1,0,1
1,1,0,1
1,1,0,0
0,0,0,0
1,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,1,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
1,1,0,1
0,1,0,0
0,1,1,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,1,0
1,0,0,0
1,0,0,1
0,0,0,0
1,0,0,0
0,0,0,0
1,1,0,0
0,0,0,0
1,1,0,1
1,0,0,0
0,1,0,0
0,0,0,0
1,1,0,1
0,0,0,0
0,0,0,0
1,1,0,1
0,1,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,1,0,1
0,0,0,0
0,0,0,0
1,0,0,0
1,1,0,0
0,1,0,1
1,1,0,1
0,0,0,0
0,0,0,0
1,0,0,0
0,1,0,1
0,0,0,0
0,1,0,0
0,1,0,0
1,1,0,1
1,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
1,0,0,0
1,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,1,0,1
1,1,0,0
0,0,0,0
0,0,0,0
0,0,1,1
0,0,0,1
1,0,0,0
